schedule,target_monday,iso_time
schedule.csv,2026-07-06,2026-07-06T13:30:00+00:00
schedule_wednesday.csv,2026-07-06,2026-07-08T12:05:07+00:00
awards.csv,2026-07-06,2026-07-13T12:42:03+00:00
schedule.csv,2026-07-13,2026-07-13T13:00:04+00:00
schedule_wednesday.csv,2026-07-13,2026-07-15T11:59:44+00:00
awards.csv,2026-07-13,2026-07-20T12:26:18+00:00
schedule.csv,2026-07-20,2026-07-20T12:31:55+00:00
schedule_wednesday.csv,2026-07-20,2026-07-22T12:11:46+00:00
awards.csv,2026-07-20,2026-07-27T13:22:00+00:00
schedule.csv,2026-07-27,2026-07-27T13:25:22+00:00
schedule_wednesday.csv,2026-07-27,2026-07-29T12:29:10+00:00
awards.csv,2026-07-27,2026-08-03T13:20:21+00:00
schedule.csv,2026-08-03,2026-08-03T13:25:02+00:00
schedule_wednesday.csv,2026-08-03,2026-08-05T12:23:41+00:00
awards.csv,2026-08-03,2026-08-10T11:20:32+00:00
schedule.csv,2026-08-10,2026-08-10T11:30:21+00:00
schedule_wednesday.csv,2026-08-10,2026-08-12T11:22:41+00:00
awards.csv,2026-08-10,2026-08-17T10:48:06+00:00
schedule.csv,2026-08-17,2026-08-17T10:56:50+00:00
schedule_wednesday.csv,2026-08-17,2026-08-19T10:55:20+00:00
awards.csv,2026-08-17,2026-08-24T10:53:17+00:00
schedule.csv,2026-08-24,2026-08-24T11:02:00+00:00
schedule_wednesday.csv,2026-08-24,2026-08-26T11:01:51+00:00
awards.csv,2026-08-24,2026-08-31T17:37:40+00:00
